Meeting,Attendance,Month,Day,Year,Week of the Semester,Season,Season Encoded,Discord Messages,First GBM,Last Meeting Attendance,Room Capacity,Post Convention
9/21/2020,21,09,21,2020,5,Fall,0,78,1,28,0,0
9/28/2020,23,09,28,2020,6,Fall,0,38,0,21,0,0
10/5/2020,22,10,05,2020,7,Fall,0,17,0,23,0,0
10/12/2020,23,10,12,2020,8,Fall,0,20,0,22,0,0
10/19/2020,27,10,19,2020,9,Fall,0,18,0,23,0,0
10/26/2020,18,10,26,2020,10,Fall,0,24,0,27,0,0
11/2/2020,19,11,02,2020,11,Fall,0,52,0,18,0,0
11/9/2020,16,11,09,2020,12,Fall,0,19,0,19,0,0
11/16/2020,14,11,16,2020,13,Fall,0,29,0,16,0,1
11/23/2020,14,11,23,2020,14,Fall,0,1,0,14,0,1
11/30/2020,14,11,30,2020,15,Fall,0,22,0,14,0,1
12/7/2020,11,12,07,2020,16,Fall,0,22,0,14,0,1
1/25/2021,24,01,25,2021,2,Spring,1,2,0,11,0,1
2/1/2021,15,02,01,2021,3,Spring,1,3,0,24,0,1
2/8/2021,17,02,08,2021,4,Spring,1,4,0,15,0,1
2/15/2021,15,02,15,2021,5,Spring,1,100,0,17,0,1
2/22/2021,14,02,22,2021,6,Spring,1,1,0,15,0,1
3/1/2021,15,03,01,2021,7,Spring,1,0,0,14,0,1
3/8/2021,15,03,08,2021,8,Spring,1,1,0,15,0,1
3/15/2021,15,03,15,2021,9,Spring,1,1,0,15,0,1
3/22/2021,14,03,22,2021,10,Spring,1,8,0,15,0,1
3/29/2021,11,03,29,2021,11,Spring,1,0,0,14,0,1
4/5/2021,9,04,05,2021,12,Spring,1,5,0,11,0,1
4/12/2021,16,04,12,2021,13,Spring,1,2,0,9,0,1
4/19/2021,14,04,19,2021,14,Spring,1,0,0,16,0,1
4/26/2021,13,04,26,2021,15,Spring,1,0,0,14,0,1
5/3/2021,12,05,03,2021,16,Spring,1,0,0,13,0,1
9/13/2021,80,09,13,2021,4,Fall,0,4,1,12,48,0
9/20/2021,49,09,20,2021,5,Fall,0,37,0,80,48,0
9/27/2021,41,09,27,2021,6,Fall,0,46,0,49,48,0
10/4/2021,30,10,04,2021,7,Fall,0,0,0,41,48,0
10/12/2021,33,10,12,2021,8,Fall,0,0,0,30,48,0
10/19/2021,18,10,19,2021,9,Fall,0,10,0,33,48,0
10/26/2021,22,10,26,2021,10,Fall,0,33,0,18,48,0
11/1/2021,20,11,01,2021,11,Fall,0,35,0,22,48,0
11/8/2021,25,11,08,2021,12,Fall,0,26,0,20,48,1
11/15/2021,18,11,15,2021,13,Fall,0,6,0,25,48,1
1/24/2022,27,01,24,2022,2,Spring,1,18,0,18,48,1
1/31/2022,21,01,31,2022,3,Spring,1,37,0,27,48,1
2/7/2022,16,02,07,2022,4,Spring,1,12,0,21,48,1
2/14/2022,7,02,14,2022,5,Spring,1,11,0,16,48,1
2/21/2022,10,02,21,2022,6,Spring,1,100,0,7,48,1
2/28/2022,8,02,28,2022,7,Spring,1,86,0,10,48,1
3/7/2022,0,03,07,2022,8,Spring,1,29,0,8,48,1
3/14/2022,15,03,14,2022,9,Spring,1,3,0,0,48,1
3/21/2022,10,03,21,2022,10,Spring,1,37,0,15,48,1
3/28/2022,11,03,28,2022,11,Spring,1,74,0,10,48,1
4/4/2022,15,04,04,2022,12,Spring,1,70,0,11,48,1
4/11/2022,13,04,11,2022,13,Spring,1,64,0,15,48,1
4/18/2022,5,04,18,2022,14,Spring,1,48,0,13,48,1
9/19/2022,38,09,19,2022,5,Fall,0,24,1,5,48,0
9/26/2022,39,09,26,2022,6,Fall,0,30,0,38,48,0
10/3/2022,30,10,03,2022,7,Fall,0,36,0,39,48,0
10/10/2022,27,10,10,2022,8,Fall,0,32,0,30,48,0
10/17/2022,35,10,17,2022,9,Fall,0,20,0,27,48,0
10/24/2022,30,10,24,2022,10,Fall,0,24,0,35,48,0
10/31/2022,20,10,31,2022,11,Fall,0,57,0,30,48,0
11/7/2022,37,11,07,2022,12,Fall,0,24,0,20,48,1
11/14/2022,24,11,14,2022,13,Fall,0,16,0,37,48,1
11/21/2022,19,11,21,2022,14,Fall,0,33,0,24,48,1
11/28/2022,28,11,28,2022,15,Fall,0,25,0,19,48,1
